hour,day_of_week,weather,road_id,road_type,vehicle_count,is_weekend,congestion_level
3,Monday,Rainy,R2,local,2,0,Low
21,Saturday,Stormy,R6,arterial,70,1,Medium
2,Tuesday,Cloudy,R4,local,1,0,Low
22,Saturday,Stormy,R2,highway,243,1,Medium
0,Sunday,Cloudy,R4,arterial,15,1,Low
6,Sunday,Rainy,R4,local,2,1,Low
11,Friday,Rainy,R6,arterial,128,0,High
3,Thursday,Clear,R5,highway,43,0,Low
11,Friday,Cloudy,R8,local,32,0,Low
9,Monday,Cloudy,R6,highway,498,0,High
20,Sunday,Rainy,R3,highway,167,1,Medium
8,Saturday,Clear,R6,arterial,67,1,Low
7,Tuesday,Foggy,R6,highway,504,0,High
22,Friday,Cloudy,R2,local,40,0,Medium
1,Tuesday,Clear,R4,arterial,19,0,Low
6,Friday,Rainy,R1,arterial,84,0,Medium
14,Tuesday,Rainy,R3,local,34,0,Medium
8,Saturday,Stormy,R5,highway,246,1,Medium
7,Tuesday,Stormy,R7,arterial,202,0,High
4,Saturday,Cloudy,R7,arterial,18,1,Low
12,Thursday,Stormy,R1,arterial,200,0,High
0,Saturday,Clear,R7,highway,39,1,Low
20,Wednesday,Clear,R3,arterial,61,0,Low
23,Saturday,Rainy,R1,local,52,1,High
3,Sunday,Rainy,R1,highway,62,1,Low
4,Wednesday,Cloudy,R2,highway,45,0,Low
0,Friday,Rainy,R4,highway,47,0,Low
9,Tuesday,Clear,R7,arterial,160,0,High
2,Saturday,Foggy,R3,arterial,27,1,Low
4,Tuesday,Foggy,R5,highway,71,0,Low
19,Thursday,Cloudy,R4,highway,489,0,High
6,Saturday,Rainy,R1,arterial,17,1,Low
14,Friday,Foggy,R8,arterial,70,0,Medium
0,Friday,Stormy,R4,arterial,13,0,Low
22,Saturday,Clear,R2,local,24,1,Low
2,Friday,Cloudy,R3,local,4,0,Low
4,Saturday,Stormy,R6,highway,53,1,Low
13,Tuesday,Clear,R5,highway,256,0,Medium
13,Thursday,Clear,R7,highway,305,0,Medium
1,Thursday,Rainy,R5,arterial,24,0,Low
6,Friday,Foggy,R1,highway,182,0,Medium
7,Sunday,Clear,R4,highway,159,1,Low
3,Monday,Stormy,R7,highway,88,0,Low
7,Tuesday,Foggy,R1,local,77,0,High
1,Tuesday,Foggy,R4,highway,18,0,Low
14,Wednesday,Foggy,R5,arterial,112,0,Medium
17,Saturday,Foggy,R5,arterial,60,1,Low
18,Saturday,Stormy,R8,arterial,67,1,Medium
18,Thursday,Stormy,R7,arterial,200,0,High
16,Monday,Cloudy,R8,arterial,54,0,Low
12,Monday,Stormy,R7,highway,430,0,High
2,Thursday,Stormy,R8,local,8,0,Low
6,Saturday,Rainy,R2,arterial,12,1,Low
20,Wednesday,Foggy,R6,arterial,88,0,Medium
0,Thursday,Stormy,R2,local,20,0,Low
17,Tuesday,Stormy,R2,local,84,0,High
7,Wednesday,Rainy,R1,arterial,203,0,High
9,Friday,Stormy,R3,highway,503,0,High
21,Monday,Cloudy,R7,local,31,0,Low
17,Tuesday,Rainy,R8,highway,497,0,High
6,Saturday,Rainy,R4,arterial,15,1,Low
2,Saturday,Foggy,R7,arterial,18,1,Low
4,Saturday,Rainy,R3,local,4,1,Low
13,Friday,Clear,R3,highway,262,0,Medium
4,Friday,Clear,R1,arterial,21,0,Low
13,Tuesday,Clear,R3,local,47,0,Medium
1,Wednesday,Cloudy,R6,arterial,21,0,Low
17,Sunday,Foggy,R6,arterial,117,1,Medium
5,Sunday,Cloudy,R7,highway,45,1,Low
10,Sunday,Foggy,R7,local,72,1,High
8,Tuesday,Clear,R8,highway,408,0,High
7,Tuesday,Foggy,R5,highway,503,0,High
7,Monday,Cloudy,R6,highway,454,0,High
8,Wednesday,Stormy,R1,arterial,204,0,High
10,Monday,Clear,R5,highway,232,0,Medium
8,Monday,Clear,R3,highway,433,0,High
10,Thursday,Stormy,R5,arterial,154,0,High
6,Wednesday,Clear,R2,highway,208,0,Low
21,Saturday,Cloudy,R5,highway,155,1,Low
10,Friday,Rainy,R6,arterial,112,0,Medium
16,Wednesday,Foggy,R7,local,36,0,Medium
4,Tuesday,Foggy,R7,highway,57,0,Low
5,Friday,Stormy,R8,highway,46,0,Low
9,Wednesday,Cloudy,R1,local,74,0,High
10,Thursday,Foggy,R4,arterial,90,0,Medium
23,Tuesday,Clear,R5,highway,162,0,Low
10,Monday,Cloudy,R8,local,34,0,Medium
4,Monday,Clear,R2,highway,25,0,Low
2,Thursday,Foggy,R3,arterial,29,0,Low
22,Thursday,Foggy,R4,highway,223,0,Medium
0,Sunday,Clear,R1,arterial,14,1,Low
22,Friday,Foggy,R7,arterial,65,0,Low
14,Tuesday,Foggy,R8,arterial,113,0,Medium
10,Sunday,Foggy,R5,local,66,1,High
13,Sunday,Stormy,R1,highway,467,1,High
14,Wednesday,Cloudy,R5,highway,250,0,Medium
16,Thursday,Cloudy,R4,arterial,65,0,Low
7,Wednesday,Rainy,R5,arterial,200,0,High
4,Tuesday,Foggy,R2,local,11,0,Low
13,Thursday,Rainy,R1,arterial,161,0,High
13,Thursday,Stormy,R3,highway,495,0,High
18,Thursday,Foggy,R2,arterial,180,0,High
12,Sunday,Foggy,R1,local,65,1,High
19,Tuesday,Foggy,R7,arterial,192,0,High
12,Wednesday,Foggy,R4,local,66,0,High
19,Friday,Clear,R1,arterial,177,0,High
0,Monday,Foggy,R5,arterial,10,0,Low
8,Thursday,Rainy,R7,arterial,198,0,High
12,Wednesday,Foggy,R2,arterial,135,0,High
23,Friday,Clear,R3,local,38,0,Medium
2,Sunday,Clear,R4,arterial,21,1,Low
0,Friday,Cloudy,R2,highway,28,0,Low
18,Tuesday,Foggy,R7,arterial,202,0,High
19,Friday,Clear,R6,highway,424,0,High
3,Friday,Clear,R8,local,9,0,Low
12,Saturday,Cloudy,R1,arterial,115,1,Medium
7,Monday,Rainy,R1,local,81,0,High
18,Sunday,Clear,R8,arterial,56,1,Low
2,Friday,Rainy,R8,arterial,7,0,Low
3,Thursday,Rainy,R7,highway,64,0,Low
4,Thursday,Cloudy,R3,highway,57,0,Low
19,Sunday,Stormy,R3,arterial,125,1,High
18,Wednesday,Rainy,R6,highway,503,0,High
8,Thursday,Cloudy,R4,arterial,198,0,High
12,Wednesday,Clear,R6,arterial,113,0,Medium
6,Wednesday,Rainy,R7,highway,238,0,Medium
8,Friday,Clear,R2,highway,423,0,High
23,Thursday,Foggy,R7,highway,250,0,Medium
20,Saturday,Foggy,R5,highway,198,1,Medium
7,Thursday,Cloudy,R6,local,72,0,High
17,Friday,Rainy,R5,highway,502,0,High
11,Saturday,Foggy,R3,local,55,1,High
23,Tuesday,Rainy,R8,arterial,78,0,Medium
22,Tuesday,Cloudy,R2,arterial,66,0,Low
18,Sunday,Stormy,R5,highway,284,1,High
9,Tuesday,Rainy,R1,highway,495,0,High
4,Wednesday,Clear,R5,highway,59,0,Low
4,Saturday,Foggy,R2,highway,19,1,Low
15,Thursday,Foggy,R5,arterial,91,0,Medium
15,Monday,Clear,R1,arterial,65,0,Low
21,Monday,Cloudy,R1,local,25,0,Low
2,Tuesday,Clear,R7,local,5,0,Low
19,Tuesday,Stormy,R5,local,84,0,High
18,Thursday,Rainy,R7,local,75,0,High
3,Sunday,Cloudy,R7,local,4,1,Low
5,Tuesday,Cloudy,R3,arterial,14,0,Low
14,Saturday,Stormy,R5,arterial,185,1,High
22,Wednesday,Foggy,R5,arterial,66,0,Low
20,Friday,Cloudy,R2,arterial,78,0,Low
4,Wednesday,Cloudy,R3,local,0,0,Low
19,Saturday,Stormy,R8,local,54,1,High
22,Wednesday,Foggy,R4,highway,315,0,High
14,Monday,Stormy,R8,highway,207,0,Medium
19,Wednesday,Clear,R2,local,62,0,Medium
18,Monday,Rainy,R2,highway,502,0,High
15,Friday,Foggy,R7,highway,308,0,High
13,Saturday,Foggy,R3,highway,450,1,High
10,Wednesday,Clear,R5,arterial,91,0,Medium
15,Wednesday,Foggy,R1,arterial,118,0,Medium
2,Wednesday,Rainy,R3,highway,46,0,Low
16,Sunday,Clear,R4,highway,182,1,Low
1,Tuesday,Stormy,R5,arterial,22,0,Low
14,Sunday,Clear,R1,local,43,1,Medium
14,Saturday,Foggy,R5,arterial,141,1,High
7,Saturday,Cloudy,R6,arterial,56,1,Low
2,Tuesday,Clear,R5,arterial,10,0,Low
15,Saturday,Rainy,R4,local,34,1,Medium
15,Tuesday,Foggy,R6,highway,250,0,Medium
16,Saturday,Cloudy,R5,local,34,1,Medium
13,Wednesday,Stormy,R6,arterial,167,0,High
9,Sunday,Stormy,R5,highway,277,1,High
14,Friday,Foggy,R4,local,35,0,Medium
12,Thursday,Rainy,R6,highway,446,0,High
18,Thursday,Cloudy,R7,highway,478,0,High
23,Thursday,Foggy,R1,local,37,0,Medium
4,Thursday,Clear,R4,arterial,12,0,Low
3,Sunday,Foggy,R3,local,7,1,Low
23,Tuesday,Foggy,R2,local,53,0,High
15,Sunday,Rainy,R2,local,33,1,Medium
2,Sunday,Rainy,R4,arterial,28,1,Low
